Time (ms),accel_X (G),accel_Y (G),accel_Z (G)
1441938292239,0.01,-0.97,0.23
1441938292241,0.02,-0.99,0.21
1441938292242,0.01,-0.96,0.21
1441938292244,0.03,-0.95,0.22
1441938292260,0.02,-0.98,0.22
1441938292264,0.01,-0.97,0.23
1441938292264,0.02,-0.99,0.21
1441938292265,0.01,-0.96,0.21
1441938292266,0.03,-0.95,0.22
1441938292301,0.02,-0.98,0.22
1441938292303,0.01,-0.92,0.24
1441938292305,0.00,-0.93,0.22
1441938292307,0.01,-0.95,0.21
1441938292309,0.01,-0.94,0.23
1441938292324,0.01,-0.92,0.24
1441938292325,0.01,-0.95,0.21
1441938292351,0.03,-0.96,0.21
1441938292371,0.02,-0.95,0.23
1441938292390,0.01,-0.92,0.24
1441938292414,0.01,-0.93,0.23
1441938292443,0.00,-0.95,0.25
1441938292459,0.01,-0.95,0.23
1441938292482,0.00,-0.94,0.24
1441938292508,0.01,-0.93,0.22
1441938292522,0.01,-0.95,0.21
1441938292549,0.02,-0.96,0.20
1441938292575,0.00,-0.95,0.21
1441938292591,0.02,-1.00,0.20
1441938292608,0.03,-1.00,0.20
1441938292634,0.00,-0.92,0.20
1441938292655,0.03,-0.98,0.20
1441938292678,0.01,-0.93,0.22
1441938292697,0.00,-0.94,0.20
1441938292719,0.02,-1.00,0.20
1441938292757,0.04,-0.97,0.23
1441938292781,0.02,-0.93,0.24
1441938292804,0.02,-0.96,0.22
1441938292828,0.03,-0.96,0.24
1441938292842,0.04,-0.97,0.22
1441938292859,0.03,-0.94,0.25
1441938292883,0.03,-0.98,0.25
1441938292906,0.04,-1.11,0.36
1441938292928,0.09,-1.40,0.51
1441938292944,0.17,-1.65,0.59
1441938292961,0.21,-1.71,0.58
1441938292982,0.12,-1.35,0.45
1441938293002,0.05,-0.96,0.36
1441938293030,0.00,-0.70,0.14
1441938293051,-0.08,-0.41,-0.07
1441938293078,-0.16,-0.08,-0.22
1441938293105,-0.18,0.12,-0.31
1441938293131,-0.15,0.19,-0.52
1441938293145,-0.20,0.21,-0.41
1441938293169,0.02,-0.41,0.20
1441938293205,0.26,-1.10,0.51
1441938293241,0.30,-1.82,0.52
1441938293248,0.30,-2.00,0.79
1441938293271,0.29,-2.00,0.81
1441938293272,0.24,-2.00,0.64
1441938293293,0.21,-1.89,0.62
1441938293317,0.11,-1.39,0.35
1441938293337,-0.03,-0.91,0.12
1441938293365,-0.04,-0.69,0.00
1441938293388,-0.03,-0.57,-0.12
1441938293412,-0.03,-0.31,-0.06
1441938293431,-0.13,0.15,-0.19
1441938293455,-0.31,0.56,-0.41
1441938293480,-0.32,0.71,-0.35
1441938293504,-0.12,0.22,0.10
1441938293529,0.19,-0.66,0.53
1441938293542,0.33,-1.39,0.57
1441938293569,0.38,-1.91,0.73
1441938293593,0.45,-2.00,0.76
1441938293610,0.60,-2.00,0.67
1441938293631,0.48,-2.00,0.48
1441938293656,0.35,-1.60,0.29
1441938293677,0.12,-0.86,0.04
1441938293701,0.06,-0.60,-0.09
1441938293738,0.03,-0.40,-0.19
1441938293764,-0.14,-0.02,-0.40
1441938293780,-0.23,0.18,-0.38
1441938293802,-0.10,-0.08,-0.15
1441938293815,0.08,-0.68,0.20
1441938293832,0.22,-1.23,0.44
1441938293857,0.29,-1.58,0.51
1441938293878,0.23,-1.54,0.52
1441938293898,0.17,-1.39,0.49
1441938293923,0.07,-1.16,0.46
1441938293946,-0.02,-0.89,0.50
1441938293970,-0.10,-0.62,0.54
1441938293999,-0.09,-0.61,0.37
1441938294016,0.01,-0.68,0.20
1441938294034,0.14,-0.85,-0.01
1441938294060,0.24,-1.05,-0.24
1441938294078,0.32,-1.20,-0.26
1441938294103,0.33,-1.29,-0.33
1441938294145,0.25,-1.22,-0.22
1441938294182,0.17,-1.08,0.04
1441938294184,0.10,-1.03,0.16
1441938294204,0.03,-0.94,0.41
1441938294230,-0.06,-0.73,0.87
1441938294249,-0.15,-0.59,1.19
1441938294263,-0.08,-0.58,1.57
1441938294283,0.02,-0.72,0.88
1441938294304,0.19,-0.92,0.29
1441938294335,0.35,-1.05,-0.14
1441938294371,0.37,-1.05,-1.07
1441938294400,0.35,-1.04,-1.55
1441938294408,0.21,-1.08,-0.96
1441938294424,0.12,-1.10,-0.08
1441938294446,0.06,-1.26,0.52
1441938294474,-0.01,-1.21,0.88
1441938294500,-0.08,-0.97,1.31
1441938294524,-0.05,-0.84,0.86
1441938294547,0.02,-0.70,0.56
1441938294565,0.16,-0.73,0.05
1441938294588,0.27,-0.96,-0.38
1441938294598,0.22,-1.19,-0.33
1441938294622,0.20,-0.94,-0.48
1441938294648,0.13,-1.02,0.05
1441938294664,0.08,-1.08,0.54
1441938294692,0.00,-1.01,0.95
1441938294720,-0.03,-0.88,1.16
1441938294750,0.05,-0.82,1.04
1441938294767,0.16,-0.82,0.43
1441938294791,0.30,-0.94,-0.14
1441938294814,0.21,-1.10,-2.00
1441938294831,0.27,-1.02,-1.06
1441938294850,0.12,-0.93,-0.20
1441938294865,0.01,-1.05,0.37
1441938294889,-0.08,-1.01,0.74
1441938294914,-0.12,-0.89,1.22
1441938294941,-0.04,-0.82,0.78
1441938294961,0.17,-0.85,0.17
1441938294982,0.28,-0.95,-0.29
1441938295000,0.44,-1.27,-0.73
1441938295024,0.24,-1.04,-0.08
1441938295053,0.09,-0.83,0.22
1441938295086,0.08,-0.87,0.33
1441938295121,0.08,-0.84,0.27
1441938295127,0.12,-0.87,0.13
1441938295164,0.10,-0.96,0.06
1441938295168,0.02,-1.05,0.04
1441938295183,-0.10,-1.13,0.06
1441938295200,-0.21,-1.11,0.11
1441938295226,-0.16,-1.14,0.40
1441938295248,-0.05,-1.11,0.44
1441938295273,0.09,-0.87,0.38
1441938295301,0.35,-0.68,0.02
1441938295320,0.57,-0.67,-0.40
1441938295348,0.69,-0.68,-0.32
1441938295364,0.48,-0.66,0.11
1441938295382,0.42,-0.92,0.49
1441938295401,0.25,-1.10,0.44
1441938295422,0.03,-1.21,0.25
1441938295450,-0.28,-1.14,0.17
1441938295472,-0.50,-1.10,0.28
1441938295505,-0.48,-1.20,0.51
1441938295521,-0.26,-1.33,0.47
1441938295549,-0.11,-1.20,0.07
1441938295573,0.18,-0.82,0.12
1441938295597,0.44,-0.54,-0.19
1441938295614,0.85,-0.42,-0.97
1441938295644,0.86,-0.46,-0.54
1441938295661,0.64,-0.56,0.16
1441938295681,0.62,-1.22,0.58
1441938295703,0.39,-1.48,0.58
1441938295717,-0.10,-1.08,0.34
1441938295742,-0.41,-1.03,0.18
1441938295768,-0.56,-1.18,0.15
1441938295786,-0.64,-1.28,0.29
1441938295814,-0.48,-1.30,0.51
1441938295832,-0.31,-1.10,0.24
1441938295857,-0.14,-0.80,0.09
1441938295890,0.21,-0.76,0.12
1441938295922,0.35,-0.44,0.03
1441938295925,0.58,-0.44,-0.06
1441938295948,0.96,-0.69,-0.09
1441938295967,0.82,-0.76,0.01
1441938295987,0.59,-0.91,0.38
1441938296014,0.42,-1.20,0.54
1441938296035,0.12,-1.19,0.34
1441938296054,-0.08,-1.10,0.30
1441938296079,-0.22,-1.13,0.13
1441938296098,-0.23,-1.21,0.13
1441938296123,-0.25,-1.28,0.27
1441938296150,-0.34,-1.33,0.13
1441938296169,-0.44,-1.12,-0.08
1441938296193,-0.54,-0.92,-0.11
1441938296229,-0.29,-1.02,0.17
1441938296250,-0.15,-0.96,-0.12
1441938296266,0.07,-0.91,0.08
1441938296283,0.12,-0.70,0.20
1441938296307,0.15,-0.76,0.15
1441938296332,0.33,-0.75,0.31
1441938296350,0.51,-0.57,0.33
1441938296376,0.73,-0.64,0.19
1441938296407,0.86,-0.91,-0.03
1441938296437,0.86,-0.84,0.16
1441938296443,0.64,-0.80,0.15
1441938296463,0.57,-0.98,0.18
1441938296482,0.45,-1.04,0.18
1441938296506,0.20,-0.97,0.01
1441938296527,-0.04,-1.01,-0.02
1441938296551,-0.25,-1.05,0.26
1441938296577,-0.48,-1.31,0.38
1441938296601,-0.56,-1.54,0.39
1441938296619,-0.72,-1.40,0.34
1441938296644,-0.61,-1.39,0.33
1441938296668,-0.51,-1.17,0.17
1441938296690,-0.45,-0.70,0.20
1441938296728,-0.25,-0.70,0.37
1441938296757,-0.06,-0.89,0.25
1441938296759,0.10,-0.63,0.34
1441938296782,0.32,-0.69,0.22
1441938296800,0.51,-0.90,-0.12
1441938296819,0.64,-0.84,0.02
1441938296845,0.76,-0.98,-0.02
1441938296871,0.83,-1.14,-0.12
1441938296889,0.61,-1.02,0.03
1441938296915,0.40,-0.86,0.22
1441938296938,0.29,-0.98,0.29
1441938296966,0.15,-0.91,0.35
1441938296980,0.02,-0.81,0.41
1441938297000,0.03,-1.11,0.32
1441938297025,-0.04,-1.12,0.24
1441938297050,-0.03,-1.13,0.28
1441938297103,-0.01,-1.29,0.23
1441938297106,0.02,-1.55,-0.14
1441938297119,0.08,-1.32,0.46
1441938297134,0.07,-1.52,0.29
1441938297155,0.01,-1.40,0.05
1441938297176,0.06,-1.41,0.15
1441938297201,-0.09,-1.18,0.01
1441938297221,0.02,-1.29,-0.04
1441938297250,-0.15,-0.92,-0.17
1441938297269,-0.25,-0.63,-0.01
1441938297293,-0.19,-0.89,0.18
1441938297328,-0.28,-0.90,-0.22
1441938297361,-0.40,-0.71,-0.27
1441938297382,-0.48,-0.65,-0.32
1441938297399,-0.14,-1.00,0.69
1441938297417,-0.33,-0.82,-0.02
1441938297434,-0.57,-0.52,-0.41
1441938297461,-0.47,-0.86,-0.39
1441938297483,-0.48,-0.67,-0.31
1441938297506,-0.52,-0.41,0.05
1441938297533,-0.54,-0.36,0.04
1441938297552,-0.53,-0.45,-0.08
1441938297577,-0.58,-0.11,0.16
1441938297601,-0.62,0.03,0.16